"id","name","avatar","images","price","stock","number_of_purchases","description","star","category_id","branch_id","created_at","updated_at"
"11","Tiêu Tiên Phước","products/Aozkbp1igCilo2syxePG02ZHNzRGPg74LgsoqFn4.jpg","products/SsJkxZGGcFVwbwIhgC0F1nBXh6ql55Z3jo3LSmcx.jpg","280000","5","0","<p>Thành phần: 100% Tiêu đen hữu cơ nguyên hạt (đặc sản vùng núi Tiên Phước) Khối lượng tịnh: 500g Hạn sử dụng: 24 tháng kể từ Ngày sản xuất Gợi ý sử dụng: Dùng cho các món ăn hằng ngày Hướng dẫn bảo quản: Bảo quản nơi khô ráo, thoáng mát Xuất xứ: vùng miền núi huyện Tiên Phước - Quảng Nam</p>","0","1","4","2025-05-13 03:06:35","2025-05-13 03:06:35"
"12","Bánh tráng Đại Lộc","products/NtxkJMS7x5LSzWYXDy1QVN5eFdBsNYbvX2jqwFaR.jpg","products/cuFiYJNrV3SyyZodulhi6OoImVzmrb9Q5ThY5dbm.jpg","35000","10","0","<p>Nói về đặc sản đại lộc, mọi người nghĩ ngay đến bánh tráng Đại Lộc. Hợp tác xã Ái Nghĩa chuyên cung cấp bánh tráng Đại Lộc, Bánh tráng được chế biến từ "" Gạo an toàn Ái Nghĩa"" sản xuất trên dây chuyền công nghệ tiên tiến khép kín, đảm bảo hợp vệ sinh, không sử dụng hàn the, quá trình đóng gói không sử dụng chất bảo quản.</p>","0","1","4","2025-05-13 03:11:05","2025-05-13 03:11:05"
"13","Trà sen thảo mộc","products/AkftPldlDmxzlGKjlFTsuYCS67TiyzrhTPnNEBoG.jpg","products/zjBSQxFGGz3Ni5VOCShclPSr32gJP5xBw1RNRhpw.jpg","145000","10","0","<p>Được sản xuất từ giống sen trắng cổ có nguồn gốc từ Hoàng cung Huế với quy trình canh tác tự nhiên, không sử dụng các chất hóa học, chất bảo quản, chất tạo mùi giúp tạo ra một sản phẩm có giá trị và an toàn cho người sử dụng. Trà Sen Thảo Mộc sử dụng nguyên liệu là các bộ phận từ cây sen, được biết đến như những vị thuốc đông y giúp cải thiện giấc ngủ và nhiều lợi ích khác.</p>","0","1","4","2025-05-13 03:13:54","2025-05-13 03:13:54"
"14","Gạo Phong Thử","products/DhxBjM7prCwEvZ4S2rNeUPdJxfpXFB2OOSlKDTfh.jpg","products/3fjqQysEAiViLXyxyfqvcHKzBN0p0sr4RVOvcuXm.jpg","175000","10","0","<p>Gạo Phong Thử</p>","0","1","4","2025-05-13 03:15:43","2025-05-13 03:15:43"
"15","Tương ớt mè Daichi","products/k3ECmHyzTbGc707nKJhpnZnMjKhD7jyDUHquyITN.jpg","products/1HxOdcT1NzyuVGWAyANzk0dxg05EJRBawDPoCmZL.jpg","55000","10","0","<p>Đặc sản truyền thống Hội An - Quảng Nam<br>Vị cay nồng đặc sản của tương ớt phố Hội<br>Hương thơm của hạt mè hoà quyện với vị béo của dầu đậu nành<br>Màu đỏ thắm của ớt sừng tươi tự nhiên, không màu nhân tạo<br>Không chất bảo quản, không hương liệu nhân tạo, không bột ngọt</p>","0","1","4","2025-05-13 03:23:27","2025-05-13 03:23:27"
"16","Óc Chó Mẹ Tép","products/9zLea2IKnlGmxVY5HYo08jZDNTxvZ6AIC7pE3ddU.jpg","products/jM39oL42CSQ7LpMVfII1oiqZRe4ddQFfxWdO94LU.jpg","140000","10","0","<p>Nhân Hạt Óc Chó – Walnuts 300gram</p><p>Óc chó, còn được biết đến với tên gọi là “walnuts” trong tiếng Anh, là một loại hạt giàu chất dinh dưỡng. Dưới đây là một số thành phần dinh dưỡng chính của óc chó:</p><p>Chất béo:&nbsp;Hạt óc chó chứa khoảng 60% chất béo, trong đó phần lớn là axit béo không bão hòa đơn và đa không bão hòa như oleic, linoleic, linolenic.</p><p>Protein:&nbsp;Khoảng 25% trọng lượng hạt óc chó là protein chất lượng cao.</p><p>Carbohydrate:&nbsp;Chứa khoảng 13% carbohydrate, chủ yếu là chất xơ.</p><p>Vitamin E:&nbsp;Hạt óc chó rất giàu vitamin E.</p><p>Khoáng chất:&nbsp;Chứa nhiều khoáng chất như magiê, photpho, kẽm, đồng, sắt, mangan,..</p><p>Chất xơ:&nbsp;Cung cấp khoảng 10% lượng chất xơ cần thiết mỗi ngày.</p><p>Các hợp chất thực vật:&nbsp;Chứa nhiều hợp chất thực vật có lợi như avenanthramides, phenolic.</p><p>Như vậy, hạt óc chó là một nguồn cung cấp dưỡng chất tuyệt vời, đặc biệt các axit béo không bão hòa, protein thực vật, chất xơ và vitamin E.</p><p>&nbsp;</p><p><br>&nbsp;</p>","0","3","4","2025-05-13 04:00:13","2025-05-13 04:00:13"
"17","Xoài Muối Ớt Mẹ Tép","products/tTLikQhuNYAUjqxldfhBCinBseBnujMqyOJ1TVq9.jpg","products/bPQcrA12NIcIDjmnTbjKJmPqoWjZiLF3v7SKahX5.jpg","125000","9","1","<p>Được lựa chọn kỹ lưỡng từ 100% Xoài chín tươi kết hợp với phương pháp sấy dẻo hiện đại, đảm bảo an toàn &amp; vệ sinh thực phẩm. Sản phẩm không chỉ là món ăn vặt thơm ngon, an toàn cho sức khoẻ mà còn chứa ít calories, nhiều chất xơ, thích hợp cho mọi lứa tuổi.</p>","4","3","4","2025-05-13 04:02:58","2025-05-14 03:21:38"
"18","Bánh Tráng Safoco size 22cm","products/o9hWQ3c3U512j6iJ6aFylQbBmtTZtUtmW5CvZ6cZ.jpg","products/gqa5qsAYHsZsmsokecliJ3ukeNF20HmYpyAUm2Vo.jpg","25000","10","0","<p>Bánh tráng với độ dài 22cm phù hợp cho nhiều món ăn như bánh cuốn, bánh mỏng giúp khi ăn không bị ngán, cuốn dễ, tạo độ trong suốt hấp dẫn, bắt mắt Thành phần: Tinh bột khoai mì, gạo, muối</p><p>Khối lượng: 300g Kích thước: 22cm Sử dụng để cuốn chả giò, gỏi cuốn,... Bảo quản trong bao kín, nơi khô ráo, thoáng mát Thương hiệu: Safoco (Việt Nam) Nơi sản xuất: Việt Nam</p>","0","3","4","2025-05-13 04:04:30","2025-05-13 04:04:30"
"19","Mì Trứng sợi nhỏ Safoco","products/mKMOFpjzY2SW7ZfudIELoV5MFj1GJrhuUelSnDla.jpg","products/k09hxdz7l9Bd4QCeDjmzr0VjnfqKocXDgbYDsOHL.jpg","32000","10","0","<p>Sợi mì nhỏ, dai ngon hoàn hảo, kích thích vị giác cùng thị giác với màu vàng bắt mắt từ trứng. Mì trứng sợi nhỏ Safoco gói 500g có thể chế biến thành nhiều món từ xào cho đến nấu chung với nước lèo. Mì Safoco chất lượng, dinh dưỡng là sự lựa chọn của nhiều khách hàng.</p><p><strong>Thông tin sản phẩm</strong>Loại sản phẩm Mì trứng Trọng lượng 500g Số vắt Khoảng 20 vắt Loại sợi Sợi tròn, nhỏ</p><p>Thương hiệu Safoco (Việt Nam) Sản xuất tại Việt Nam</p><p><strong>Thành phần</strong></p><p>Bột mì (97,5%), trứng (1,5% đã qua kiểm dịch), muối ăn, chất ổn định (Pentasodium Triphosphate (E451i), màu thực phẩm tổng hợp (Tartrazine (E102), Sunset yellow FCF (E110))</p><p><br>&nbsp;</p><p><strong>Cách dùng</strong></p><p>Cho các vắt mì vào nước đang sôi, nấu khoảng 1-3 phút, thỉnh thoảng đánh tơi vắt mì cho chín mềm đều, đừng nấu chín quá, vớt mì ra, bỏ vào nước lạnh, đánh tơi sợi mì rồi vớt ra để cho ráo nước.</p><p>Cho một muỗng dầu thực vật rồi trộn đều để các sợi mì không dính vào nhau. Sau đó dùng làm các món ăn tuỳ thích.</p><p>MÌ NƯỚC - Sắp mì vào tô để thịt, tôm, cua, gia vị rồi đổ nước lèo đang sôi vào. MÌ XÀO - Xào với các loại thịt, tôm, cua, nấm rơm và gia vị tuỳ theo khẩu vị. Bảo quản: Để nơi khô ráo, thoáng mát</p>","0","3","4","2025-05-13 07:59:21","2025-05-13 07:59:21"
"20","Nui ống lớn Safoco","products/LJ00eZMcbTstxnIxc2KpIlMwSZZ7y7qWdmhaAg4c.jpg","products/uyVONspakrO1kf1VoXRZBuj7Hjk5xXwtadVzduYs.jpg","29000","10","0","<p>Loại sản phẩm: Nui ống Trọng lượng: 400g</p><p>Thương hiệu: Safoco (Việt Nam) Sản xuất tại: Việt Nam<br>&nbsp;</p><p><strong>Thành phần</strong>Bột gạo 64%, bột mì 17%, tinh bột khoai mì 17%, trứng (1%, đã qua kiểm dịch), muối ăn, chất ổn định (Pentasodium Triphosphate (E451i)), màu thực phẩm tổng hợp (Tartrazine (E102), Sunset Yellow FCF (E110)).<br>&nbsp;</p><p><strong>Cách dùng</strong></p><p>Đun sôi khoảng 1-3 lít nước (tuỳ theo khối lượng gói nui), cho nui vào nước đang sôi, nấu khoảng 7-12 phút, thỉnh thoảng khuấy đều và thử xem nui đã chín đều chưa. Đừng nấu chín quá, khi nui đã vừa chín thì vớt ra đem xả nước lạnh rồi để ráo nước, xong trộn nui với 1 muỗng dầu thực vật để nui không dính cục vào nhau. Sau đó chế biến thành các món ăn tuỳ theo ý thích. Nui nấu, nui xào với các loại rau củ, thịt, thuỷ hải sản, gia vị,...<br>&nbsp;</p><p><strong>Bảo quản</strong>Để nơi khô ráo, thoáng mát</p>","0","3","4","2025-05-13 08:18:41","2025-05-13 08:18:41"
"21","Trà trái mãng cầu xiêm túi lọc (Hộp 48g)","products/hWvsPCgpmb4iW0uJussiKd4uThBnG0IH21aqjjou.jpg","products/48lJuQd5RVZgelpo40cQQAa21CWT7cY4YLDDJY7u.jpg","100000","19","1","<p>TRÀ MÃNG CẦU</p><p>&nbsp;</p><p>Trà mãng cầu được xem là ‘thần dược’. Nhờ vào hàng loạt lợi ích cho sức khỏ của loại trà này. Chẳng hạn như ngừa sự phát triển của một số loại bệnh ung thư. Giảm huyết áp, tăng cường sức đề kháng và khả năng tiêu hoá. Loại trà này còn giúp làm đẹp như giảm cân, đẹp da và kháng viêm.</p><p>&nbsp;</p><p>Trà mãng cầu là loại trà được làm từ lá hay trái mãng cầu xiêm (Annona muricata). Ở Việt Nam thì trà mãng cầu hay được làm từ trái của cây mãng cầu xiêm. Thế nhưng ở các nước thì lá mới là phần được làm thành trà. Và gần đây thì người tiêu dùng nước ta mới bắt đầu làm quen với việc uống lá mãng cầu. Quả mãng cầu rất được chú ý thời gian gần đây. Vì một số nghiên cứu cho thấy loại trái cây này có nhiều lợi ích cho sức khoẻ.</p>","0","3","1","2025-05-13 08:20:10","2025-05-14 09:58:27"
"22","Yến chưng đường phèn (Hủ)","products/iQLClyJKNl6R5T3fwlfiuiu9Iehz6ydN5OFO2Xji.jpg","products/FQ8cFg2XFCg3Pwd2lLnYwmENWLfX0tMSDNne2U7v.jpg","80000","8","0","<p>Tổ yến chưng đường phèn có vị ngọt thanh tao nên được nhiều người yêu thích. Tổ yến chưng mang nguồn dinh dưỡng dồi dào, rất tốt cho trẻ em, bà bầu và người lớn tuổi.</p>","0","3","1","2025-05-13 08:22:03","2025-05-13 08:22:03"
"23","Trà trái mãng cầu xiêm","products/XPCozoRnecCpaTsPeJNquuV0N2opex2sEzyA9BG3.jpg","products/OvZP2zyGcg1glTfNexMO3MCDZG47bKULS49VLQFP.jpg","120000","10","0","<p>TRÀ MÃNG CẦU</p><p>&nbsp;Trà mãng cầu được xem là ‘thần dược’. Nhờ vào hàng loạt lợi ích cho sức khỏ của loại trà này. Chẳng hạn như ngừa sự phát triển của một số loại bệnh ung thư. Giảm huyết áp, tăng cường sức đề kháng và khả năng tiêu hoá. Loại trà này còn giúp làm đẹp như giảm cân, đẹp da và kháng viêm.</p><p>&nbsp;Trà mãng cầu là loại trà được làm từ lá hay trái mãng cầu xiêm (Annona muricata). Ở Việt Nam thì trà mãng cầu hay được làm từ trái của cây mãng cầu xiêm. Thế nhưng ở các nước thì lá mới là phần được làm thành trà. Và gần đây thì người tiêu dùng nước ta mới bắt đầu làm quen với việc uống lá mãng cầu. Quả mãng cầu rất được chú ý thời gian gần đây. Vì một số nghiên cứu cho thấy loại trái cây này có nhiều lợi ích cho sức khoẻ.</p>","0","3","3","2025-05-13 08:24:18","2025-05-13 08:24:18"
"24","Rong Sụn Mẹ Tép","products/kDxg4b7YeS4I2IvhZLy84fqmqjhDLCkru6ufPbTP.jpg","products/mFU0u37PVPnkjNcIDHlYkFa4tun8ZGSUhwXxwdqb.jpg","145000","10","0","<p>Rong sụn (rong sụn gai) thuộc ngành tảo đỏ, phát triển theo nhánh, chùm. Rong sụn khi nuôi có màu xanh lá đậm đặc trưng, tùy vào độ mặn thì rong còn có màu vàng hoặc nâu. Rong sụn được trồng tại các vùng biển, vịnh nông. Nhiệt độ nước ấm từ 25 – 30 độ C, điều kiện độ mặn cao, rong sẽ sinh trưởng và phát triển tốt. Hiện nay rong sụn biển đã và đang được nuôi trồng thành công tại một số vùng biển Việt Nam</p><p>Giá trị dinh dưỡng từ rong sụn biển rất cao. Thành phần dinh dưỡng có trong rong sụn chủ yếu là chất khoáng, vitamin A, B2, C, Canxi, Iot… Chính vì thế rong sụn rất tốt cho sức khỏe con người, có thể chữa một số bệnh như: huyết áp cao, táo bón, bướu cổ… Chính vì thế nhiều&nbsp;<strong>món ăn từ rong sụn</strong>&nbsp;được chế biến sáng tạo, vừa ngon vừa bổ dưỡng. Rong sụn biển tươi sau khi được sơ chế, sấy khô có thể được bảo quản lâu tới 06 tháng. Rong sụn khô được chế biến sử dụng thành nhiều món ăn ngon như: gỏi rong sụn, canh rong sụn, chè rong sụn, mứt rong sụn, thạch rong sụn,…</p>","0","3","4","2025-05-13 08:26:16","2025-05-13 08:26:16"
"25","Trà Bồ Khai Trà Bồ Khai Vị Quế Vị Nguyên Bản","products/kGRVkMnlceEmuF6T4gT9oqlMUd4x1oodv3PN0NBJ.jpg","products/m2fiitk8JgEBtaMKQL7G62TcI0vQZrepYxrFmFKJ.jpg","99000","10","0","<p>Tra bo khai</p>","0","3","3","2025-05-13 08:28:23","2025-05-13 08:28:23"
"26","Kẹo chuối gân hộp","products/LNs88vWso4PNI9OduiLvricXTHgrzfoiXdc6J21w.jpg","products/qksDxNMLWk6pN7JSAVAKrcpLTtetun6vcPloYWuC.jpg","51000","9","0","<p>???? Khác biệt hoàn toàn với những loại kẹo chuối bạn từng ăn! Kẹo chuối gân sầu riêng Vicosap không chỉ đem lại hương vị đặc trưng của chuối mà còn kết hợp với mùi sầu riêng thơm ngon, tạo nên một trải nghiệm ẩm thực độc đáo.</p><p><br>&nbsp;</p><p>???? Với sự mềm mịn, dẻo dai hơn và ít dính răng hơn, từng viên kẹo mang đến cảm giác thưởng thức hoàn hảo mà không gây cảm giác ngán.</p><p><br>&nbsp;</p><p>???? Giữ được vị chuối tươi ngon và thoảng mùi sầu riêng đặc trưng, mỗi viên kẹo là một hành trình khám phá vị giác mới lạ.</p><p><br>&nbsp;</p><p>Đừng bỏ lỡ cơ hội thưởng thức hương vị độc đáo này! ????</p>","0","4","3","2025-05-13 08:34:10","2025-05-13 08:34:10"
"27","Gạo Thơm Mỹ Bửu Trang","products/zoqmK5hIIqG2m55JWQO8MVe9efiFakG3CbEGnDzS.jpg","products/4zldFWT3GDGosn2qJV5SKHd4qqZrBTM4aw4l96LU.jpg","170000","10","0","<p>Gạo thơm Bửu Trang</p>","0","4","3","2025-05-13 08:41:47","2025-05-13 08:41:47"
"28","GIĂM BÔNG NGUYỄN DŨNG","products/d8Ku8rwN6VanL7sdFzTV8ZtRX4TryK7o4iJ2hOUU.jpg","products/eWdCPQGtaNEBVBg72eSCTNvYA90Jbc19SVvFry1C.jpg","130000","10","0","<figure class=""image""><img src=""https://dyh48pub5c8mm.cloudfront.net/home/store/goods/7203/20250211/s3_7203_2025021114095773328.jpg"" alt=""Chất lượng tuyệt hảo: Được làm từ thịt heo tươi sạch, kết hợp cùng giăm bông hảo hạng, tạo nên hương vị thơm ngon đặc trưng. Vị ngon khó cưỡng: Thịt dai giòn, béo nhẹ, không hề ngấy. Khi cắn vào, bạn sẽ cảm nhận được sự hòa quyện hoàn hảo giữa độ ngọt tự nhiên của thịt và vị mặn nhẹ từ giăm bông. Đa dạng cách thưởng thức: Có thể ăn ngay, làm nhân bánh mì, ăn kèm xôi, cuốn bánh tráng hoặc dùng trong các bữa tiệc. An toàn &amp; tiện lợi: Được chế biến theo quy trình đảm bảo vệ sinh an toàn thực phẩm, không chất bảo quản độc hại.""></figure>","0","4","1","2025-05-13 08:43:25","2025-05-13 08:43:25"
"29","BÔNG ĐU ĐỦ ĐỰC NGÂM MẬT ONG","products/ZLvIVkVMwkaj3pW48q0KLRcxRNPt2hXr1kXYlc9v.jpg","products/TOyOzz0YEqR9x3wyaQjDffiYX89sYWIihrApT4ev.jpg","350000","10","0","<p>Ngon bổ rẻ</p>","0","4","4","2025-05-13 08:46:06","2025-05-13 08:46:30"
"30","MÍT SẤY GIÒN VIETBORN CỰC NGON - HỘP 200GR","products/ft3DpvCx4njiAlaQ8S27jmXLsNXl21aSu9qhCTKc.jpg","products/O9nVrI0RQWps20ZIFJJivP2YXXWkvTdjUMps1aB4.jpg","81000","10","0","<p>Mít sấy VietBorn cánh mít dày, màu vàng sáng đẹp dùng phương pháp chiên chân không kết hợp quay ly tâm tách dầu nên mít thơm và không bị hôi dầu.</p><p>&nbsp;</p><p>&nbsp;Hàng mới 100% – Nói không với hàng tồn kho</p><p>&nbsp;</p><p>&nbsp;Chất lượng ổn định, không thay đổi</p><p>&nbsp;</p><p>&nbsp;Đầy đủ chứng nhận VSATTP – Đảm bảo an toàn, sẵn sàng phân phối</p><p>&nbsp;</p><p>&nbsp;Nhận gia công đóng gói, in tem theo yêu cầu – Linh hoạt theo thương hiệu riêng</p><p>&nbsp;</p><p>&nbsp;Giá tốt nhất từ trước đến nay</p>","0","4","3","2025-05-13 08:49:09","2025-05-13 08:49:41"
